x_m,y_m,z_m,depth_m,azn_deg,dip_deg,app_m,type
11.75076324,10.69069768,-4.192069466,16.43,256.75,86.9,0,2
11.80082736,10.73624538,-4.209929775,16.5,77.72,74.87,0,2
12.00108382,10.91843621,-4.281371007,16.78,223.45,47.78,0,2
12.2943165,11.18521564,-4.385981383,17.19,162.99,23.27,0,2
12.35153264,11.23727017,-4.406393164,17.27,223.23,16.15,0,2
12.41590079,11.29583151,-4.429356417,17.36,200.45,36.7,0,2
12.45881289,11.3348724,-4.444665253,17.42,214.7,34.77,0,1
12.50172498,11.37391329,-4.459974088,17.48,232.81,30.65,0,1
12.57324515,11.43898144,-4.485488814,17.58,252.13,27.78,0,2
12.75204557,11.60165183,-4.549275629,17.83,198.85,15.07,0,2
12.8092617,11.65370635,-4.56968741,17.91,193.54,20.49,0,2
12.83786976,11.67973361,-4.5798933,17.95,0.49,74.48,0,2
13.15255849,11.96603349,-4.692158094,18.39,248.04,83.49,0,2
13.18831858,11.99856757,-4.704915457,18.44,345.57,74.71,0,2
13.20977463,12.01808801,-4.712569875,18.47,255.78,72.99,0,2
13.30275084,12.10267661,-4.745739019,18.6,237.75,62.3,0,2
13.33135891,12.12870387,-4.755944909,18.64,35.76,43.24,0,2
13.38857504,12.1807584,-4.77635669,18.72,129.91,22.38,0,2
13.46724722,12.25233337,-4.804422888,18.83,345.02,77.56,0,2
13.66750369,12.4345242,-4.875864121,19.11,201.41,56.64,0,2
13.81769604,12.57116732,-4.929445045,19.32,262.38,62.46,0,2
13.90352023,12.64924911,-4.960062716,19.44,195.26,51.64,0,2
13.98219242,12.72082407,-4.988128915,19.55,250.64,52.48,0,2
13.98934443,12.72733089,-4.990680387,19.56,255.65,55.65,0,2
14.02510452,12.75986497,-5.00343775,19.61,246.42,61.34,0,2
14.09662468,12.82493312,-5.028952476,19.71,272.38,55.77,0,2
14.12523275,12.85096038,-5.039158367,19.75,247.64,4.34,0,2
14.13238477,12.8574672,-5.041709839,19.76,346.38,75.25,0,2
14.24681703,12.96157624,-5.082533401,19.92,252.3,63.77,0,2
14.28972913,13.00061714,-5.097842236,19.98,246.73,61.67,0,2
14.32548921,13.03315121,-5.110599599,20.03,244.45,68.04,0,2
14.38985736,13.09171255,-5.133562852,20.12,256.56,83.5,0,2
14.51144164,13.20232841,-5.176937886,20.29,192.36,49.51,0,2
14.56150576,13.24787612,-5.194798195,20.36,172.57,57.42,0,2
14.57580979,13.26088975,-5.19990114,20.38,253.83,60.06,0,2
14.57580979,13.26088975,-5.19990114,20.38,155.13,40.01,0,2
14.59726584,13.2804102,-5.207555557,20.41,253.82,56.29,0,2
14.61156988,13.29342383,-5.212658503,20.43,16.8,52.09,0,2
14.65448198,13.33246472,-5.227967338,20.49,256.36,66.59,0,2
14.70454609,13.37801243,-5.245827646,20.56,254.54,89.73,0,2
14.77606626,13.44308058,-5.271342372,20.66,345.29,78.1,0,2
14.81897836,13.48212147,-5.286651208,20.72,343.42,74.2,0,2
14.88334651,13.54068281,-5.309614461,20.81,211.8,20.65,0,2
14.89049852,13.54718963,-5.312165934,20.82,348.3,72.95,0,2
